# srgb_r	srgb_g	srgb_b	vlog_r	vlog_g	vlog_b
0.68350877	0.97309210	0.69213052	0.81119374	0.89856810	0.73073965
0.35370984	0.69407261	0.88998452	0.52988962	0.57531569	0.65729290
0.47121152	0.57576881	0.28518048	0.45615535	0.47472688	0.39485835
0.66968957	0.20504249	0.72614993	0.49287601	0.40808032	0.53370378
0.94645888	0.73516148	0.16405118	0.73790020	0.64362117	0.49140021
0.15600691	0.88775235	0.64422734	0.56115786	0.64795110	0.56224563
0.10403833	0.85505171	0.56847101	0.52424070	0.61221187	0.52350448
0.41313029	0.81858118	0.51560707	0.52055683	0.58409323	0.49743575
0.74907935	0.31661361	0.02448128	0.51206104	0.41096225	0.26936360
0.22152191	0.67487119	0.49475236	0.44359612	0.50975603	0.46448310
0.68824359	0.58945792	0.67393582	0.51681542	0.49783565	0.51944819
0.37022880	0.25907816	0.68090098	0.41594882	0.39761454	0.51311629
0.64844906	0.01248772	0.59593660	0.46962990	0.33428563	0.48038179
0.28822504	0.95901675	0.14851055	0.71563536	0.80999698	0.61069689
0.51966423	0.35922920	0.54843231	0.45018118	0.42043768	0.46903141
0.74963570	0.79728083	0.25535575	0.56306431	0.57310920	0.43502768
0.58182637	0.71459006	0.66943653	0.51121739	0.53483522	0.52368461
0.95498665	0.58567839	0.67907847	0.76261537	0.61409420	0.60535994
0.01634779	0.14817489	0.21500566	0.26277664	0.31672079	0.35452082
0.37404535	0.21769071	0.58594641	0.40337067	0.37137760	0.47728352
0.15457264	0.53791491	0.22524614	0.38850290	0.45621011	0.36581468
0.85134616	0.02267137	0.03213116	0.57036689	0.37310073	0.27828930
0.51766789	0.11256761	0.51653345	0.43043997	0.33446920	0.45360805
0.08905072	0.80533295	0.79070310	0.50137108	0.58087359	0.58183995
0.39901569	0.20540751	0.31448935	0.40179386	0.35368663	0.38889966
0.82542108	0.19321219	0.94949256	0.68352858	0.59320908	0.77768811
0.60064969	0.94019281	0.12717268	0.66429722	0.74270032	0.54799886
0.07026925	0.06961519	0.15827278	0.26363699	0.26431974	0.32459734
0.12953459	0.96096260	0.90449664	0.74192155	0.82806093	0.80639790
0.40098963	0.61387551	0.13347359	0.44688848	0.48366015	0.34098510
0.93933058	0.02823262	0.72677691	0.70788367	0.52657935	0.60899432
0.47270909	0.06233327	0.98004449	0.74508241	0.75117148	0.97371646
0.31321399	0.12649067	0.60697041	0.37974347	0.33638381	0.48288973
0.02967703	0.33613195	0.96076394	0.59806572	0.61557215	0.82384828
0.87687451	0.24017123	0.55783760	0.60289235	0.45867602	0.49882005
0.79035801	0.98879527	0.20443845	0.90517362	0.98060311	0.77742530
0.51651985	0.41149526	0.61027209	0.45608383	0.43794291	0.49024236
0.10045163	0.23997411	0.08783279	0.31455317	0.35865145	0.28002841
0.66658683	0.45980433	0.78863950	0.51555021	0.47984665	0.56920277
0.76414767	0.79605960	0.33994524	0.56698173	0.57349568	0.45407534
0.03658462	0.90677156	0.41744101	0.57774176	0.67216386	0.52340063
0.92826935	0.49402486	0.39784286	0.68240250	0.54238052	0.48077968
0.83693344	0.76554418	0.24683004	0.59359767	0.57373319	0.43833626
0.11510871	0.45280532	0.44065400	0.37361752	0.43632858	0.43792731
0.18631412	0.44995114	0.81897785	0.43723927	0.47412745	0.58737824
0.96832028	0.62983443	0.47055966	0.82959274	0.66236289	0.56516160
0.47073027	0.13147281	0.85818403	0.47361841	0.43318476	0.61765974
0.24582567	0.69779401	0.29059397	0.44824084	0.51594150	0.41034967
0.92405285	0.90033106	0.86847013	0.71633448	0.70925289	0.69428011
0.37803166	0.14481081	0.66918945	0.40534277	0.35829135	0.50689712
0.80318402	0.16179863	0.39990596	0.53950898	0.39432789	0.42887445
0.65641621	0.12821262	0.78191212	0.49530109	0.40467211	0.56199316
0.05599074	0.61067436	0.14202020	0.39143832	0.47850471	0.33929507
0.87161923	0.27140436	0.30116410	0.59569049	0.45125503	0.41795012
0.50200733	0.70711169	0.41322847	0.48897779	0.52449119	0.44767173
0.99967628	0.07962286	0.68863248	0.94438581	0.73845742	0.68168042
0.68365791	0.07435802	0.78891573	0.50368594	0.39952961	0.56603622
0.73218676	0.34778952	0.83353103	0.54123032	0.47531432	0.59881162
0.77536690	0.64019221	0.80572614	0.56303471	0.53484550	0.58377343
0.29413266	0.59854444	0.11077787	0.42500392	0.47644244	0.32692934
0.39164741	0.03765601	0.63402132	0.39758090	0.31865118	0.49227948
0.48995599	0.94111508	0.97109837	0.79926266	0.87750884	0.89787684
0.90805314	0.20317814	0.36709395	0.64116642	0.47186496	0.45038274
0.62742930	0.64709949	0.58481396	0.50484819	0.50838939	0.49131364
0.31635193	0.53632690	0.14865414	0.41784368	0.45684501	0.33412892
0.37188403	0.55148177	0.88170449	0.50250124	0.52742187	0.64496957
0.89536657	0.16730637	0.00875047	0.62076389	0.44389677	0.31520182
0.91377894	0.47895392	0.17650856	0.65414277	0.52110184	0.41535447
0.10078179	0.10666832	0.38185820	0.28668477	0.29171271	0.40931319
0.71654526	0.71946320	0.85372293	0.57089558	0.57231216	0.62101375
0.18595343	0.83177679	0.14895220	0.50440180	0.58961027	0.41844424
0.23502218	0.08153008	0.93465627	0.51952441	0.51915150	0.73214883
0.54382460	0.45131817	0.63633171	0.46723505	0.45141350	0.50035609
0.86226586	0.58898699	0.09938022	0.59617898	0.51841794	0.37379755
0.60059357	0.97275578	0.71864815	0.80480290	0.89580547	0.73796544
0.94345361	0.60456312	0.33330864	0.72243346	0.58828024	0.48905543
0.06842900	0.86265715	0.98009715	0.83295217	0.90257273	0.97984522
0.26507963	0.17323344	0.41621017	0.36259390	0.33784151	0.42253737
0.04573039	0.32450407	0.59135578	0.34287322	0.39943767	0.48012716
0.36721111	0.64687640	0.49050367	0.45652470	0.50087737	0.46133973
0.63215173	0.05990729	0.53529043	0.46287150	0.33261215	0.45914904
0.73350195	0.46287358	0.25614398	0.51466658	0.45394358	0.38474506
0.63344498	0.97293479	0.17005836	0.80536066	0.89637276	0.69386899
0.79797369	0.96531961	0.08781188	0.78641647	0.84554310	0.64500793
0.81502196	0.82220200	0.27743223	0.59082952	0.59163779	0.45235113
0.58944129	0.58421898	0.83470571	0.51950395	0.52017624	0.60168446
0.54883454	0.30840120	0.74472109	0.46878223	0.43015794	0.54305089
0.87438723	0.27904262	0.27300133	0.59856495	0.45385261	0.41056991
0.34803632	0.24273967	0.59854348	0.40070525	0.38048966	0.48194835
0.63403888	0.94076569	0.67221273	0.67268409	0.74652363	0.62459760
0.74312641	0.86285646	0.47469970	0.59535287	0.62368552	0.50827727
0.82636707	0.43237269	0.39865628	0.56314742	0.46884775	0.44166274
0.37428997	0.65725576	0.69017855	0.46979847	0.51230158	0.52580992
0.80019595	0.85192997	0.81968348	0.61087635	0.62292227	0.61243946
0.83027018	0.81908542	0.37222570	0.59776358	0.59403711	0.47315029
0.85969724	0.90408769	0.44461026	0.66386545	0.67564231	0.53396885
0.61691234	0.82941221	0.14553938	0.54801823	0.59108872	0.42111785
0.27275213	0.84547349	0.43031733	0.52426319	0.60296733	0.48632435
0.90848283	0.76799250	0.67905063	0.66586909	0.61936417	0.57679371
0.61907696	0.38708321	0.12049847	0.46847115	0.41732677	0.30755719
0.21206163	0.10495577	0.49180000	0.33615745	0.30538174	0.44369627
0.61846384	0.91170788	0.07910988	0.61520835	0.68122138	0.48773534
0.18556576	0.62481720	0.86984422	0.48905783	0.54014125	0.63288769
0.43930712	0.61672846	0.06052344	0.45327011	0.48459298	0.31550375
0.96018967	0.10123457	0.76416814	0.78382616	0.60059395	0.67174721
